ts,src,tc,rh,co2,pm1,pm25,pm4,pm10,voc,nox,vb,flags
1787529600,local,21.3,72.6,1630,,4.0,,,137,1,,0
1787529600,bedroom,20.1,75.6,1466,,,,,,,3.480,0
1787529720,local,21.4,72.7,1636,,4.0,,,137,1,,0
1787529840,local,21.4,72.8,1641,,4.0,,,137,1,,0
1787529960,local,21.4,72.9,1647,,4.0,,,137,1,,0
1787529960,bedroom,20.2,75.9,1480,,,,,,,3.479,0
1787530080,local,21.5,72.9,1653,,4.1,,,138,1,,0
1787530200,local,21.5,73.0,1658,,4.1,,,138,1,,0
1787530200,bedroom,20.3,76.0,1490,,,,,,,3.478,0
1787530320,local,21.5,73.1,1664,,4.1,,,138,1,,0
1787530440,local,21.6,73.2,1670,,4.1,,,138,1,,0
1787530560,local,21.6,73.3,1675,,4.1,,,138,1,,0
1787530560,bedroom,20.4,76.3,1504,,,,,,,3.478,0
1787530680,local,21.6,73.4,1681,,4.1,,,138,1,,0
1787530800,local,21.7,73.5,1686,,4.1,,,139,1,,0
1787530800,bedroom,20.5,76.5,1513,,,,,,,3.477,0
1787530920,local,21.7,73.5,1692,,4.1,,,139,1,,0
1787531040,local,21.7,73.6,1697,,4.2,,,139,1,,0
1787531160,local,21.8,73.7,1703,,4.2,,,139,1,,0
1787531160,bedroom,20.6,76.7,1527,,,,,,,3.476,0
1787531280,local,21.8,73.8,1708,,4.2,,,139,1,,0
1787531400,local,21.8,73.9,1714,,4.2,,,139,1,,0
1787531400,bedroom,20.6,76.9,1537,,,,,,,3.475,0
1787531520,local,21.9,74.0,1719,,4.2,,,140,1,,0
1787531640,local,21.9,74.1,1724,,4.2,,,140,1,,0
1787531760,local,21.9,74.1,1730,,4.2,,,140,1,,0
1787531760,bedroom,20.7,77.1,1550,,,,,,,3.474,0
1787531880,local,22.0,74.2,1735,,4.3,,,140,1,,0
1787532000,local,22.0,74.3,1740,,4.3,,,140,1,,0
1787532000,bedroom,20.8,77.3,1559,,,,,,,3.474,0
1787532120,local,22.0,74.4,1746,,4.3,,,140,1,,0
1787532240,local,22.1,74.5,1751,,4.3,,,141,1,,0
1787532360,local,22.1,74.6,1756,,4.3,,,141,1,,0
1787532360,bedroom,20.9,77.6,1572,,,,,,,3.473,0
1787532480,local,22.1,74.7,1761,,4.3,,,141,1,,0
1787532600,local,22.2,74.7,1766,,4.3,,,141,1,,0
1787532600,bedroom,21.0,77.7,1581,,,,,,,3.472,0
1787532720,local,22.2,74.8,1771,,4.3,,,141,1,,0
