ts,src,tc,rh,co2,pm1,pm25,pm4,pm10,voc,nox,vb,flags
1787443200,local,20.5,46.0,580,,4.0,,,95,1,,0
1787443200,bedroom,19.3,49.0,573,,,,,,,3.700,0
1787443320,local,20.5,46.0,583,,4.0,,,95,1,,0
1787443440,local,20.6,46.0,586,,4.0,,,95,1,,0
1787443560,local,20.6,46.1,589,,4.0,,,95,1,,0
1787443560,bedroom,19.4,49.1,581,,,,,,,3.699,0
1787443680,local,20.6,46.1,593,,4.1,,,95,1,,0
1787443800,local,20.7,46.1,596,,4.1,,,95,1,,0
1787443800,bedroom,19.5,49.1,586,,,,,,,3.698,0
1787443920,local,20.7,46.1,599,,4.1,,,95,1,,0
1787444040,local,20.7,46.2,602,,4.1,,,95,1,,0
1787444160,local,20.8,46.2,605,,4.1,,,96,1,,0
1787444160,bedroom,19.6,49.2,594,,,,,,,3.698,0
1787444280,local,20.8,46.2,608,,4.1,,,96,1,,0
1787444400,local,20.8,46.2,611,,4.1,,,96,1,,0
1787444400,bedroom,19.6,49.2,600,,,,,,,3.697,0
1787444520,local,20.8,46.2,614,,4.1,,,96,1,,0
1787444640,local,20.9,46.3,617,,4.2,,,96,1,,0
1787444760,local,20.9,46.3,620,,4.2,,,96,1,,0
1787444760,bedroom,19.7,49.3,607,,,,,,,3.696,0
1787444880,local,20.9,46.3,623,,4.2,,,96,1,,0
1787445000,local,21.0,46.3,626,,4.2,,,96,1,,0
1787445000,bedroom,19.8,49.3,612,,,,,,,3.695,0
1787445120,local,21.0,46.4,629,,4.2,,,96,1,,0
1787445240,local,21.0,46.4,632,,4.2,,,96,1,,0
1787445360,local,21.1,46.4,635,,4.2,,,96,1,,0
1787445360,bedroom,19.9,49.4,620,,,,,,,3.695,0
1787445480,local,21.1,46.4,638,,4.3,,,96,1,,0
1787445600,local,21.1,46.4,640,,4.3,,,96,1,,0
1787445600,bedroom,19.9,49.4,624,,,,,,,3.694,0
1787445720,local,21.1,46.5,643,,4.3,,,96,1,,0
1787445840,local,21.2,46.5,646,,4.3,,,96,1,,0
1787445960,local,21.2,46.5,648,,4.3,,,97,1,,0
1787445960,bedroom,20.0,49.5,631,,,,,,,3.693,0
1787446080,local,21.2,46.5,651,,4.3,,,97,1,,0
